name	einwohner	id
Aarberg	4632	301.0
Aarwangen	4620	321.0
Adelboden	3352	561.0
Aefligen	1096	401.0
Aegerten	2180	731.0
Aeschi bei Spiez	2244	562.0
Affoltern im Emmental	1106	951.0
Alchenstorf	576	402.0
Allmendingen	591	630.0
Amsoldingen	795	921.0
Arch	1629	381.0
Arni BE	930	602.0
Attiswil	1513	971.0
Auswil	440	322.0
Bannwil	661	323.0
Bargen (BE)	1025	302.0
Bäriswil	1046	403.0
Bätterkinden	3249	533.0
Beatenberg	1196	571.0
Bellmund	1682	732.0
Belp	11572	861.0
Belprahon	291	681.0
Berken	41	972.0
Bern	134591	351.0
Bettenhausen	644	973.0
Biel / Bienne	55602	371.0
Biglen	1815	603.0
Bleienbach	713	324.0
Blumenstein	1248	922.0
Bolligen	6286	352.0
Boltigen	1252	791.0
Bönigen	2528	572.0
Bowil	1364	605.0
Bremgarten bei Bern	4369	353.0
Brenzikofen	492	606.0
Brienz	3117	573.0
Brienzwiler	473	574.0
Brügg	4370	733.0
Brüttelen	588	491.0
Buchholterberg	1523	923.0
Büetigen	870	382.0
Bühl	476	734.0
Büren an der Aare	3584	383.0
Burgdorf	16587	404.0
Burgistein	1113	863.0
Busswil bei Melchnau	181	325.0
Champoz	164	683.0
Clavaleyres	48	661.0
Corcelles (BE)	201	687.0
Corgémont	1737	431.0
Cormoret	490	432.0
Cortébert	688	433.0
Court	1415	690.0
Courtelary	1456	434.0
Crémines	499	691.0
Därligen	421	575.0
Därstetten	855	761.0
Deisswil bei Münchenbuchsee	91	535.0
Diemerswil	204	536.0
Diemtigen	2259	762.0
Diessbach bei Büren	994	385.0
Dotzigen	1478	386.0
Dürrenroth	1046	952.0
Eggiwil	2473	901.0
Elay / Seehof	60	709.0
Epsach	331	735.0
Eriswil	1374	953.0
Eriz	491	924.0
Erlach	1388	492.0
Erlenbach im Simmental	1733	763.0
Ersigen	2039	405.0
Eschert	367	692.0
Fahrni	819	925.0
Farnern	215	975.0
Ferenbalm	1236	662.0
Finsterhennen	581	493.0
Forst-Längenbühl	777	948.0
Fraubrunnen	5180	538.0
Frauenkappelen	1228	663.0
Freimettigen	454	607.0
Frutigen	6940	563.0
Gals	833	494.0
Gampelen	953	495.0
Gerzensee	1231	866.0
Gondiswil	728	326.0
Graben	342	976.0
Grandval	396	694.0
Grindelwald	3810	576.0
Grossaffoltern	3031	303.0
Grosshöchstetten	4151	608.0
Gsteig b. Gstaad	970	841.0
Gsteigwiler	402	577.0
Guggisberg	1523	852.0
Gündlischwand	357	578.0
Gurbrü	264	665.0
Gurzelen	859	867.0
Guttannen	254	782.0
