name	einwohner
Aarberg	4632
Aarwangen	4620
Adelboden	3352
Aefligen	1096
Aegerten	2180
Aeschi bei Spiez	2244
Affoltern im Emmental	1106
Alchenstorf	576
Allmendingen	591
Amsoldingen	795
Arch	1629
Arni BE	930
Attiswil	1513
Auswil	440
Bannwil	661
Bargen (BE)	1025
Bäriswil	1046
Bätterkinden	3249
Beatenberg	1196
Bellmund	1682
Belp	11572
Belprahon	291
Berken	41
Bern	134591
Bettenhausen	644
Biel / Bienne	55602
Biglen	1815
Bleienbach	713
Blumenstein	1248
Bolligen	6286
Boltigen	1252
Bönigen	2528
Bowil	1364
Bremgarten bei Bern	4369
Brenzikofen	492
Brienz	3117
Brienzwiler	473
Brügg	4370
Brüttelen	588
Buchholterberg	1523
Büetigen	870
Bühl	476
Büren an der Aare	3584
Burgdorf	16587
Burgistein	1113
Busswil bei Melchnau	181
Champoz	164
Clavaleyres	48
Corcelles (BE)	201
Corgémont	1737
Cormoret	490
Cortébert	688
Court	1415
Courtelary	1456
Crémines	499
Därligen	421
Därstetten	855
Deisswil bei Münchenbuchsee	91
Diemerswil	204
Diemtigen	2259
Diessbach bei Büren	994
Dotzigen	1478
Dürrenroth	1046
Eggiwil	2473
Elay / Seehof	60
Epsach	331
Eriswil	1374
Eriz	491
Erlach	1388
Erlenbach im Simmental	1733
Ersigen	2039
Eschert	367
Fahrni	819
Farnern	215
Ferenbalm	1236
Finsterhennen	581
Forst-Längenbühl	777
Fraubrunnen	5180
Frauenkappelen	1228
Freimettigen	454
Frutigen	6940
Gals	833
Gampelen	953
Gerzensee	1231
Gondiswil	728
Graben	342
Grandval	396
Grindelwald	3810
Grossaffoltern	3031
Grosshöchstetten	4151
Gsteig b. Gstaad	970
Gsteigwiler	402
Guggisberg	1523
Gündlischwand	357
Gurbrü	264
Gurzelen	859
Guttannen	254
Habkern	648
Hagneck	412
Hasle bei Burgdorf	3326
Hasliberg	1151
Häutligen	256
Heiligenschwendi	707
Heimberg	6927
Heimenhausen	1140
Heimiswil	1636
Hellsau	211
Herbligen	599
Hermrigen	313
Herzogenbuchsee	7255
Hilterfingen	4057
Hindelbank	2490
Höchstetten	270
Hofstetten bei Brienz	527
Homberg	502
Horrenbach-Buchen	229
Huttwil	5004
Iffwil	421
Inkwil	610
Innertkirchen	1069
Ins	3555
Interlaken	5634
Ipsach	3968
Iseltwald	430
Ittigen	11306
Jaberg	298
Jegenstorf	5761
Jens	649
Kallnach	2204
Kandergrund	821
Kandersteg	1281
Kappelen	1414
Kaufdorf	1112
Kehrsatz	4331
Kernenried	560
Kiesen	1012
Kirchberg (BE)	5916
Kirchdorf (BE)	1829
Kirchenthurnen	305
Kirchlindach	3214
Köniz	42044
Konolfingen	5347
Koppigen	2082
Krattigen	1131
Krauchthal	2401
Kriechenwil	442
La Ferrière	529
La Neuveville	3756
La Scheulte / Schelten	35
Landiswil	607
Langenthal	15644
Langnau im Emmental	9320
Lauenen	823
Laupen	3168
Lauperswil	2664
Lauterbrunnen	2279
Leissigen	1148
Lengnau (BE)	5280
Lenk	2324
Leubringen / Evilard	2654
Leuzigen	1289
Ligerz	547
Linden	1300
Lohnstorf	242
